tanggal,deskripsi,nomor_part,harga,qty,satuan,pengguna,keterangan
2023-12-01,Oil Engine MEDITRAN SX,15W-40,29200,8,ltr, PAK KRIS ,
2023-12-01,Kawat Las RB 4.0 mm,*,1565,70,pcs, N 8477 UG ,
2023-12-01,"Gerenda Selep 4""",*,11500,2,pcs, N 8477 UG ,
2023-12-01,Gerinda Potong 4'',*,3000,9,pcs, N 8477 UG ,
2023-12-01,SIKAT MANGKOK EINHILL,TOKO 27,25000,1,pcs, N 8477 UG ,
2023-12-01,Air Accu PEGASUS,Cakra Motor,9583,1,btl, WA 01 ,
2023-12-01,Oil Hydraulic MEDITRAN S10W,SAE 10 W,29000,11,ltr, WA 01 ,
2023-12-01,Oil hydraulic TuraliK 69,CAHAYA GUNUNG JATI,30250,6,ltr, WA 01 ,
2023-12-01,Fuel Filter J8620120,UD Sempurna,72000,1,pcs, WA 01 ,
2023-12-01,Marshet IBK R16 ,DIRGAPUTRA EKAPRATAMA,34965,2,pcs, Minimix Banjarmasin ,
2023-12-01,BAN DALAM 700/750-16 IBK,DIRGAPUTRA EKAPRATAMA,134390,2,pcs, Minimix Banjarmasin ,
2023-12-01,Bongkar Borem ,Bambang As 13/11/23,250000,1,pcs, N 8427 BF  ,
2023-12-01,BONGKAR PASANG BAN 750-16,Kas - PRIMA JAYA BAN,10000,2,pcs, Minimix Banjarmasin ,
2023-12-01,Grease Bearing SHELL - Gadus S2V220 2 ,Panca Putra Mitra Tama,1421600,1,pail, Paving Puntir ( dikembalikan 1 pail tgl 6/12/2023) ,SJ 001335
2023-12-01,HANDLE 1:0:2 40A LINDER,IPUL ELECTRIC,600000,1,pcs, Puntir Crusher ,SJ 001335
2023-12-01,"Kabel 3x2,5 ( EX TOBELO )",*,15500,10,mtr, Crusher Puntir  ,SJ 001335
2023-12-01,Dudukan Vibro,*,0,1,pcs, Hoper Pasir Paving Puntir ,SJ 001335
2023-12-01,KABEL NYY 3x2.5 EX (50mtr),IPUL ELECTRIC,960000,1,roll, Crusher Kediri 2 ,SJ 001335
2023-12-01,TERMINAL BLOK RAIL 60A FORT,IPUL ELECTRIC,10000,12,Pcs, Mojoagung ,Di Bawa Mr ARIF /  SJ 001337
2023-12-01,KONTAKTOR ST50 MITSUBISHI,IPUL ELECTRIC,723000,2,Pcs,Plant Mojoagung,Di Bawa Mr ARIF /  SJ 001337
2023-12-01,PUSH BUTTON NONC,IPUL ELECTRIC,25000,6,Pcs,Plant Mojoagung,Di Bawa Mr ARIF /  SJ 001337
2023-12-01,SOLASI LISTRIK NATIONAL,BAROKAH,7000,2,Pcs,Plant Mojoagung,Di Bawa Mr ARIF /  SJ 001337
2023-12-01,KABEL NYAF 6mm,IPUL ELECTRIC,14500,50,mtr,Plant Mojoagung,Belum Masuk SJ
