tanggal,deskripsi,nomor_part,harga,qty,satuan,pengguna,keterangan
2024-01-02,BAUT RODA BLKG NKR71 IS02 RR-LH/IBK,DIRGAPUTRA EKAPRATAMA,58142,2,pcs, N 8444 UF ,
2024-01-02,MINYAK REM PRESTONE,CV. ARNEX,75000,0.3,ltr, Forklip Kuning ,
2024-01-02,Air Accu PEGASUS,Cakra Motor,9583,4,btl, WA 01 ,
2024-01-02,Oil Hydraulic MEDITRAN S10W,SAE 10 W,29000,4,ltr, WA 01 ,
2024-01-02,Oil Engine MEDITRAN SX,15W-40,29200,3,ltr, N 9058 UF ,
2024-01-02,Oil Hydraulic TuraliK 69,CAHAYA GUNUNG JATI,26800,1.5,ltr, N 9849 UH ,
2024-01-02,Oil Engine MEDITRAN SX,15W-40,29200,9,ltr, N 9443 UG ,REQ 001276
2024-01-02,Oil Filter NKR & NMR/Astra,16-97247 514-0,95000,1,pcs, N 9443 UG ,REQ 001276
2024-01-02,Fuel Filter NKR & NMR / ASTRA,I8 98037481-A,90675,1,Pcs, N 9443 UG ,REQ 001276
2024-01-02,Fuel Filter HINO 23401/PAK MUQ,RM Surabaya,39000,1,pcs, N 9443 UG ,REQ 001276
2024-01-02,Baut Roda BLK NKR 71 LH,Makmur Motor,60000,2,pcs, N 9443 UG ,REQ 001276
2024-01-02,Velg Baru L6-12mm,P/N,900000,1,pcs, N 9443 UG ,REQ 001276
2024-01-02,Oil Hydraulic TuraliK 69,CAHAYA GUNUNG JATI,26800,3,ltr, PAVING 3 ,
2024-01-02,Kawat Las RB 4.0 mm,CV Brilliant,1565,30,pcs, Crusher ,
2024-01-02,Gembok,Akbar Jaya,28000,1,pcs, Crusher ,
2024-01-02,KAWAT LAS LB 5.2 (5KG),BRILLIANT,250000,1,pack, Crusher ,
2024-01-02,Tabung O2,*,75000,1,tbg, Crusher ,
2024-01-02,SOLASI LISTRIK NATIONAL,BAROKAH,7000,1,pcs, Crusher 2 Mamuju ,
2024-01-02,KAWAT LAS RB 3.2 ( 5KG ),BRILLIANT,160000,1,pack, Crusher 2 Mamuju ,
2024-01-02,"Gerinda Potong WD 4""",Prima Sekar,50000,1,pack, Crusher 2 Mamuju ,
2024-01-02,V belt B65 Bando,Cakra Motor,71500,2,pcs, PAVING 2 ,
2024-01-02,Oil Engine MEDITRAN SX,15W-40,29200,9,ltr, N 8303 UH ,REQ 001277
2024-01-02,Oil Filter NKR & NMR/ SM,16-97247 514-0,83000,1,pcs, N 8303 UH ,REQ 001277
2024-01-02,Fuel Filter NKR & NMR / ASTRA,I8 98037481-A,90675,1,Pcs, N 8303 UH ,REQ 001277
2024-01-02,Fuel Filter HINO 23401/PAK MUQ,RM Surabaya,39000,1,pcs, N 8303 UH ,REQ 001277
2024-01-02,BAUT RODA NKR71 RR-RH MITSUDA,73 MOTOR,57500,2,pcs, N 8303 UH ,REQ 001277
2024-01-02,Oil Engine MEDITRAN SX PLUS ( 200 L ),Cahaya Gunung Jati,33750,11.5,ltr, N 8235 UG ,REQ 001278
2024-01-02,Oil Filter NKR & NMR/ Astra,16-97247 514-0,94575,1,pcs, N 8235 UG ,REQ 001278
2024-01-02,FUEL FILTER DMAX I6-98159 693-0,ASTRA ISUZU,75000,1,pcs, N 8235 UG ,REQ 001278
2024-01-02,Fuel Filter NKR & NMR / ASTRA,I8 98037481-A,90675,1,pcs, N 8235 UG ,REQ 001278
2024-01-02,SWITCH KOPLING NKR/NMR71,73 MOTOR,190000,1,pcs, N 8428 BF ,
2024-01-02,Seal Roda Belakang Dalam NMR  - RM,8 - 97122937 - 0,45000,1,Pcs, N 9566 UG ,Req 001279
2024-01-02,Sarung Tangan Putih Polos,Kas - Prima Sekar,14500,10,lusin, PAVING ,
2024-01-02,Armature MT 90/Angkur Gerinda,Kas - Sakti Putra Perdana,290000,2,pcs, Mekanik ,
2024-01-02,Jasa Vulkanisir Dingin Ban Luar 1000-20 BS/MJS,UJB 287,1050000,1,pcs, Tangkil ,SJ 000715
2024-01-02,Jasa Vulkanisir Dingin Ban Luar 1000-20 BS/MJS,UJB 303,1050000,1,pcs, Tangkil ,SJ 000715
2024-01-02,Epoxy Dana Filler,SIWA JAYA,85000,3,kg, TM 207 Tangkil ,SJ By Nota
2024-01-02,Thinner Super,SIWA JAYA,17000,5,ltr, TM 207 Tangkil ,SJ By Nota
