tanggal,deskripsi,nomor_part,harga,qty,satuan,pengguna,keterangan
2023-11-01,LAMPU CABIN DEPAN ASSY LH FUSO 220PS ,SUMBER BERKAT DIESEL,375000,1,pcs, DT 9577 UF/AG 9309 UP ,
2023-11-01,LAMPU CABIN DEPAN ASSY RH FUSO 220PS,SUMBER BERKAT DIESEL,375000,1,pcs, DT 9577 UF/AG 9309 UP ,
2023-11-01,HOSE + SPRING,ASIA TIMUR,280000,1,pcs, N 9849 UH ,
2023-11-01,SERVIS REK END,TRI STAR,135000,2,pcs, DT 9577 UF/AG 9309 UP ,
2023-11-01,BOOT BALL JOINT,TRI STAR,20000,2,Pcs, DT 9577 UF/AG 9309 UP ,
2023-11-01,Oil Hydraulic MEDITRAN S10W,SAE 10 W,29000,5,ltr, WA 01 ,
2023-11-01,Oil hydraulic TuraliK 69,CAHAYA GUNUNG JATI,27000,3,ltr, WA 01 ,
2023-11-01,Oil Engine MEDITRAN SX,15W-40,29200,1,ltr, WA 01 ,
2023-11-01,Oil Engine MEDITRAN SX,15W-40,29200,3,ltr, N 8515 UH ,
2023-11-01,Oil Engine MEDITRAN SX,15W-40,29200,2,ltr,N 8417 UE,
2023-11-01,Oil Hydraulic MEDITRAN S10W,SAE 10 W,29000,1,ltr,N 9456 UG,
2023-11-01,Tabung o2,*,75000,1,pcs,N 8477 UG,
2023-11-01,OIL PERTAMINA SAE 140,RORED HDA 140,36500,25,ltr, Tangkil ,SJ 000974
2023-11-01,Tie Rod Univ / Verseneling,Makmur Motor,65000,1,pcs, Tangkil CP 04 ,SJ 000974
2023-11-01,BAUT BAJA M20x70 ,HASIL FASTINDO,12550,10,pcs, LOADER SEM TANGKIL ,SJ 000974
2023-11-01,REBUILT AS KRUK HINO RK100,SUKA AMAN,1250000,1,pcs, HINO EK 100 BABAT DIPERBAIKI TANGKIL ,SJ 000974
2023-11-02,Pir Extra No 4 /DIRGA,IZ115H/04,189742,1,pcs, N 8235 UG ,Req 001485
2023-11-02,Velg repair L6-12mm - UJB,TRIYENNY JAYA,60000,1,pcs, N 8235 UG ,Req 001485
2023-11-02,Daun Velg L6-12mm ,P/N,400000,1,pcs, N 8235 UG ,Req 001485
2023-11-02,Kawat Las RB 4.0 mm,Untuk Las Velg,1565,11,pcs, N 8235 UG ,Req 001485
2023-11-02,Oil Hydraulic MEDITRAN S10W,SAE 10 W,29000,1.5,ltr, N 8427 BF ,
2023-11-02,Service Tie Rod,Tri Star,135000,2,pcs, N 8432 BF ,
2023-11-02,Boot Bols Joint,Tri Star,20000,2,pcs, N 8432 BF ,
2023-11-02,Oil hydraulic TuraliK 69,CAHAYA GUNUNG JATI,27000,1,ltr, N 8432 BF ,
2023-11-02,Velg repair L6-12mm - UJB,TRIYENNY JAYA,60000,1,pcs,N 9616 UH,Req 001488
2023-11-02,Daun Velg L6-12mm ,P/N,400000,1,pcs,N 9616 UH,Req 001488
2023-11-02,Kawat Las RB 4.0 mm,Untuk Las Velg,1565,11,pcs,N 9616 UH,Req 001488
2023-11-02,BAUT RODA NKR/NMR71 RR-RH (IBK),73 Motor,60000,2,pcs,N 9616 UH,Req 001488
2023-11-02,Velg repair L6-12mm - UJB,TRIYENNY JAYA,60000,1,pcs,N 8444 UF,Req 001489
2023-11-02,Daun Velg L6-12mm ,P/N,400000,1,pcs,N 8444 UF,Req 001489
2023-11-02,Kawat Las RB 4.0 mm,Untuk Las Velg,1565,11,pcs,N 8444 UF,Req 001489
2023-11-02,BAUT RODA NKR/NMR71 RR-RH (IBK),73 Motor,60000,2,pcs,N 8444 UF,Req 001489
2023-11-02,Baut Roda BLK NKR 71 LH,Cakra Motor,70000,2,pcs,N 8271 UF,Req 001486
2023-11-02,Seal Roda Belakang Dalam NMR  - RM,8 - 97122937 - 0,45000,1,pcs,N 8271 UF,Req 001486
2023-11-02,Baut Roda BLK LH NKR 71,73 Motor,60000,1,pcs,N 8271 UF,Req 001486
2023-11-02,Pir Extra No 4 /DIRGA,IZ115H/04,189742,1,pcs,N 8271 UF,Req 001486
2023-11-02,"Gerinda Potong 4""",*,2625,1,pcs,N 8271 UF,Req 001486
2023-11-02,SPOORING,SBM,150000,1,unit, N 8271 UF ,
2023-11-02,Isolasi Kertas Besar,Siwa Jaya,15000,2,pcs,N 8477 UG,
