tanggal,deskripsi,nomor_part,harga,qty,satuan,pengguna
2023-10-02,SEAL REM NKR71 40493,73 MOTOR,10000,12,pcs, N 8235 UG 
2023-10-02,Minyak Rem PRESTONE,DOT 3,86250,0.3,pcs, N 8235 UG 
2023-10-02,Air Filter NMR / ASTRA,18-98321 413-A,220000,1,pcs, N 8235 UG 
2023-10-02,FUEL FILTER DMAX I6-98159 693-0,ASTRA ISUZU,75000,1,lsn, N 8235 UG 
2023-10-02,BAUT RODA NKR71 RR-RH (IBK),73 MOTOR,60000,1,pcs, N 8235 UG 
2023-10-02,BAUT RODA NKR71 RR-LH (IBK),73 MOTOR,60000,3,pcs, N 8235 UG 
2023-10-02,Oil Hydraulic MEDITRAN S10W,SAE 10 W,29000,0.5,ltr, N 8235 UG 
2023-10-02,Pir Extra Ory No.1,73 motor,380000,1,pcs, N 8448 UF 
2023-10-02,SUNDUK PIR BLKG CANTER,73 MOTOR,40000,1,pcs, N 8448 UF 
2023-10-02,PIR EXTRA NKR71 NO.1,73 MOTOR,260000,1,pcs, N 8427 BF 
2023-10-02,SUNDUK PIR BLKG CANTER,73 MOTOR,40000,1,pcs, N 8427 BF 
2023-10-02,SEAL REM NKR71 40493,73 MOTOR,10000,4,pcs, N 8303 UH 
2023-10-02,SEAL RODA BELAKANG DALAM NMR71,MAKMUR MOTOR,65000,1,pcs, N 8303 UH 
2023-10-02,Minyak Rem PRESTONE,DOT 3,86250,0.6,pcs, N 8303 UH 
2023-10-02,Oil Filter NKR & NMR/ Astra,16-97247 514-0,94575,1,pcs, N 9614 UH 
2023-10-02,Oil Engine MEDITRAN SX,15W-40,32100,9,ltr, N 9614 UH 
2023-10-02,Ban Luar 7.50-16 BS/BSN,T1202-HNJ0223,2175000,1,set, N 9429 UG 
2023-10-02,Ban Luar 7.50-16 BS/BSN,T8901-HNJ0723,2175000,1,set, N 9429 UG 
2023-10-02,Cross Joint NKR 71,Makmur Motor,285000,1,pcs, N 8428 BF 
2023-10-02,BAUT RODA NKR71 RR-RH (IBK),73 MOTOR,60000,2,pcs, N 8428 BF 
2023-10-02,BIKIN PLAT NOMOR N 9058 UF,*,110000,1,psg, N 9058 UF 
2023-10-02,PIR GAS/ SPRING FUEL INJECTION GOVERNOR NKR71,73 MOTOR,150000,1,pcs, N 9849 UH 
2023-10-03,Oil Filter NKR & NMR/ Astra,16-97247 514-0,94575,1,pcs, N 9433 UG 
2023-10-03,Oil Engine MEDITRAN SX,15W-40,32100,9,ltr, N 9433 UG 
2023-10-03,Fuel Filter NKR & NMR / ASTRA, I8 98037481-A,90675,1,pcs, N 9433 UG 
2023-10-03,Fuel Filter  HINO 23401/PAK MUQ,RM Surabaya,39000,1,pcs, N 9433 UG 
2023-10-03,Terpal 3x5,Akbar Jaya,105000,1,pcs, N 9433 UG 
2023-10-03,Pir Extra Ory No.1,73 motor,380000,1,pcs, N 8303 UH 
2023-10-03,Sunduk Pir BLK NKR 71,73 motor,40000,1,pcs, N 8303 UH 
2023-10-03,STOPPER/TAMPEL PIR BELAKANG NKR71,73 MOTOR,310000,2,pcs, N 8303 UH 
2023-10-03,LAMPU STOP NKR71 LH,73 MOTOR,50000,1,pcs, N 8432 BF 
2023-10-03,LAMPU STOP NKR71 RH,73 MOTOR,50000,1,pcs, N 8432 BF 
2023-10-03,DOP ENGKEL 24V,SEJATI MOTOR,2500,4,pcs, N 8432 BF 
2023-10-03,DOP DOBEL 24V,SEJATI MOTOR,2500,2,pcs, N 8432 BF 
2023-10-03,SEKRING/FUSE MINI,CAKRA MOTOR,2000,4,pcs, N 8432 BF 
2023-10-03,Oil Engine MEDITRAN SX,15W-40,32100,1,ltr, N 8502 UA 
2023-10-03,LAMPU STOP NKR71 LH,73 MOTOR,50000,1,pcs, N 8417 UE 
2023-10-03,LAMPU STOP NKR71 RH,73 MOTOR,50000,1,pcs, N 8417 UE 
2023-10-03,Flasher NKR 71,Makmur Motor,95000,1,pcs, N 8417 UE 
2023-10-03,OIL PERTAMINA SAE 140,RORED HDA 140,40000,6,ltr, N 9491 UH 
2023-10-03,Lem Silicone Kecil,Makmur Motor,12500,1,pcs, N 9491 UH 
2023-10-03,STOPPER / TAMPEL PIR BLKG NKR71,73 MOTOR,310000,2,pcs, N 8430 BF 
2023-10-03,Ban Depan Luar 750-16 BS Ex DT / ASTRA ISUZU,DT 5565-34,1400000,1,set, N 8430 BF 
2023-10-03,V belt A-41 Moulend,Omega Tech,31000,2,pcs, N 8761 UG 
2023-10-03,Oil Engine Meditran S-50,CAHAYA Gunung JATI,32800,0.5,ltr, N 8761 UG 
2023-10-04,Hanger Drop / Rumah Bearing Bandul NKR 71,73 Motor,200000,1,pcs, N 8428 BF 
2023-10-04,Center Bearing NKR / Bandul,73 Motor,250000,1,pcs, N 8428 BF 
2023-10-04,Baut Cross Joint Elf,*,15000,4,pcs, N 8428 BF 
2023-10-04,Oil Engine MEDITRAN SX,15W-40,32100,9,ltr, N 9663 UH 
2023-10-04,Oil Filter NKR & NMR/ Astra,16-97247 514-0,94575,1,pcs, N 9663 UH 
2023-10-04,Fuel Filter NKR & NMR / ASTRA,16-97172549-0,37000,3,pcs, N 9663 UH 
2023-10-04,Air Filter NKR / ASTRA,I7-55500 201 -A,230000,1,pcs, N 9663 UH 
2023-10-04,BAUT RODA NKR71 RR-LH (IBK),73 MOTOR,60000,2,pcs, N 8303 UH 
2023-10-04,Ban Dalam IBK 700/750-16,DIRGAPUTRA EKAPRATAMA,134390,1,pcs, N 9616 UH 
2023-10-04,Pasang Daun Velg,Bambang AS,150000,1,pcs, N 9616 UH 
2023-10-04,Daun Velg L-6 LANTECH,P/N,400000,1,pcs, N 9616 UH 
2023-10-04,Ban Dalam IBK 700/750-16,DIRGAPUTRA EKAPRATAMA,134390,1,pcs, N 8444 UF 
2023-10-04,PINION CROWN WHEEL NMR I6-41210 531-0,ASTRA ISUZU,4192500,1,set, N 9491 UH 
2023-10-04,Ring Satelite Gardan Kecil,Makmur Motor,20000,6,pcs, N 9491 UH 
2023-10-04,Ring Satelite Gardan Besar,Makmur Motor,35000,2,pcs, N 9491 UH 
2023-10-04,BEARING GARDAN 30309 DJR KOYO,LAHAR JAYA,185000,1,pcs, N 9491 UH 
2023-10-04,Bearing Gardan 30310J,Lahar jaya,185000,1,pcs, N 9491 UH 
2023-10-04,SPACER COLLAR PINION Gardan NMR 1-41219004-0,73 Motor,160000,1,pcs, N 9491 UH 
2023-10-04,Seal Pinion/MOB gardan  / PM SBY,8-97047609-0,45000,1,pcs, N 9491 UH 
2023-10-04,Bearing Pinion NMR /JUB,1-098110062-1/J 30,290000,1,pcs, N 9491 UH 
2023-10-04,BEARING GARDAN 3984/20 KOYO,LAHAR JAYA,185000,2,pcs, N 9491 UH 
2023-10-04,LAMPU STOP NKR71 LH,73 MOTOR,50000,1,pcs, N 8417 UE 
2023-10-04,LAMPU STOP NKR71 RH,73 MOTOR,50000,1,pcs, N 8417 UE 
2023-10-04,DOP ENGKEL 24V,SEJATI MOTOR,2500,2,pcs, N 8417 UE 
2023-10-04,DOP DOBEL 24V,SEJATI MOTOR,2500,1,pcs, N 8417 UE 
2023-10-04,Ban Vulkanisir Jadi DGN 7.50-16 / MJS,1822210,1050000,1,pcs, N 8417 UE 
2023-10-04,Ban Vulkanisir Jadi DGN 7.50-16 / MJS,129310,1050000,1,pcs, N 8417 UE 
2023-10-04,Ban Dalam IBK 700/750-16,DIRGAPUTRA EKAPRATAMA,134390,1,pcs, N 8417 UE 
2023-10-04,Marshet IBK R16 Besi,DIRGAPUTRA EKAPRATAMA,38724,1,pcs, N 8417 UE 
2023-10-04,Ban Vulkanisir Jadi DGN 7.50-16 / MJS,324106,1050000,1,pcs, N 9613 UH 
2023-10-04,Ban Vulkanisir Jadi DGN 7.50-16 / MJS,1722207,1050000,1,pcs, N 9613 UH 
2023-10-04,Ban Dalam IBK 700/750-16,DIRGAPUTRA EKAPRATAMA,134390,2,pcs, N 9613 UH 
2023-10-04,Marshet IBK R16 Besi,DIRGAPUTRA EKAPRATAMA,38724,2,pcs, N 9613 UH 
2023-10-04,Ban 1100 GT / EX Mixer Hino Baru,UJB 720,4250000,1,set,N 8076 UF
2023-10-04,Service Dongkrak 32 TON Silver,Bengkel ANDALAN,218000,1,pcs, N 9613 UH 
2023-10-04,Bensin Ecer ,Kas ,12000,2,ltr, N 9491 UH 
2023-10-04,Ban Luar 7.50-16 BS/BSN,T1202-HNJ0223,2175000,1,set, N 9204 UF 
2023-10-04,Ban Luar 7.50-16 BS/BSN,T8901-HNJ0723,2175000,1,set, N 9204 UF 
2023-10-04,Ban Luar 7.50-16 BS/BSN,T8902-HNJ0723,2175000,1,set, N 9204 UF 
2023-10-04,Ban Luar 7.50-16 BS/BSN,T8902-HNJ0423,2175000,1,set, N 9204 UF 
2023-10-05,Oil Engine MEDITRAN SX,15W-40,32100,3,ltr, N 8417 UE 
2023-10-05,Pasang Daun Velg,Bambang AS,150000,1,pcs, N 8432 BF 
2023-10-05,Daun Velg L6-12mm Mercy,SBM/Potong 175.000,305000,1,pcs, N 8432 BF 
2023-10-05,Pasang Daun Velg,Bambang AS,150000,1,pcs, N 8624 UG 
2023-10-05,Daun Velg L6-12mm Mercy,SBM/Potong 175.000,305000,1,pcs, N 8624 UG 
2023-10-06,MASTER KOPLING Atas /BOOSTER CLUTCH 90mm,73 MOTOR,660000,1,pcs, N 8417 UE 
2023-10-06,Minyak Rem PRESTONE / ARNEX,DOT 3,75000,0.3,ltr, N 8417 UE 
2023-10-06,Daun Velg L-5/12mm  NKR 66,73 Motor,390000,1,pcs, N 8105 UB 
2023-10-06,Bongkar Pasang Velg ,Bengkel Triyeny,60000,1,pcs, N 8105 UB 
2023-10-06,Kawat Las RB 4.0 mm,Untuk Las Velg,1565,11,pcs, N 8105 UB 
2023-10-06,Oil Engine MEDITRAN SX,15W-40,32100,3,ltr, N 8515 UH 
2023-10-06,Ban Vulkanisir Jadi DGN 7.50-16 / MJS,1422219,1050000,1,pcs,N 9489 UH
2023-10-06,Ban Dalam IBK 700/750-16,DIRGAPUTRA EKAPRATAMA,134390,1,pcs,N 9489 UH
2023-10-06,Marshet IBK R16 Besi,DIRGAPUTRA EKAPRATAMA,38724,1,pcs,N 9489 UH
2023-10-06,Ban Jasa Vulkansir Panas 750-16 / BSJ,1020320,500000,1,pcs, N 8105 UB 
2023-10-06,Ban Dalam IBK 700/750-16,DIRGAPUTRA EKAPRATAMA,134390,1,pcs, N 8105 UB 
2023-10-06,Marshet IBK R16 Besi,DIRGAPUTRA EKAPRATAMA,38724,1,pcs, N 8105 UB 
2023-10-06,Service Dinamo Stater NKR 71,BJL Service,500000,1,pcs, N 8502 UA 
2023-10-07,Oil Engine MEDITRAN SX,15W-40,32100,9,ltr, N 8432 BF 
2023-10-07,Oil Filter NKR & NMR/ Astra,16-97247 514-0,34575,1,pcs, N 8432 BF 
2023-10-07,BAUT RODA NKR71 RR-LH (IBK),73 MOTOR,60000,2,pcs, N 9429 UG 
2023-10-07,SEAL REM NKR71 40493,73 MOTOR,10000,4,pcs, N 9429 UG 
2023-10-07,Oil Engine MEDITRAN SX PLUS ( 200 L ),Cahaya Gunung Jati,33750,11.5,ltr, N 8235 UG 
2023-10-07,Oil Filter NKR & NMR/ Astra,16-97247 514-0,94575,1,pcs, N 8235 UG 
2023-10-07,Velg repair L6-12mm,TRIYENNY JAYA,60000,2,pcs, N 8235 UG 
2023-10-07,DAUN VELG CANTER L6 12mm / Mercy,SBM,340000,2,pcs, N 8235 UG 
2023-10-07,Kawat Las RB 4.0 mm,Untuk Las Velg,1565,22,pcs, N 8235 UG 
2023-10-07,Oil Engine MEDITRAN SX PLUS ( 200 L ),Cahaya Gunung Jati,33750,11.5,ltr,N 8271 UF
2023-10-07,Oil Filter NKR & NMR/ Astra,16-97247 514-0,94575,1,pcs,N 8271 UF
2023-10-07,FUEL FILTER DMAX I6-98159 693-0,ASTRA ISUZU,75000,1,pcs,N 8271 UF
2023-10-07,Fuel Filter NKR & NMR / ASTRA, I8 98037481-A,90675,1,pcs,N 8271 UF
2023-10-07,Velg repair L6-12mm / Pindah Daun,TRIYENNY JAYA,0,1,pcs,N 8271 UF
2023-10-07,Kawat Las RB 4.0 mm,Untuk Las Velg,1565,22,pcs,N 8271 UF
2023-10-07,BAUT RODA NKR71 RR-LH (IBK),73 MOTOR,60000,1,pcs, N 9566 UG 
2023-10-07,BAUT RODA NKR71 RR-RH (IBK),73 MOTOR,60000,1,pcs, N 9566 UG 
2023-10-07,Ban Depan Luar 750-16 BS Ex DT / ASTRA ISUZU,DT 5565-18 / DJ 0723,1400000,1,set, N 9490 UH 
2023-10-07,BAUT RODA NKR71 RR-LH (IBK),73 MOTOR,60000,2,pcs, N 8333 UF 
2023-10-09,BAUT RODA NKR71 RR-LH (IBK),73 MOTOR,60000,1,pcs, N 8235 UG 
2023-10-09,GANTI NOZZLE ,BENGKEL GANESHA,425000,4,pcs, N 9490 UH 
2023-10-09,GANTI NOZZLE ,Kas - BENGKEL GANESHA,425000,4,pcs, N 9490 UH 
2023-10-10,Oil Engine MEDITRAN SX,15W-40,32100,5,ltr, N 8515 UH 
2023-10-10,Oil Engine MEDITRAN SX,15W-40,32100,1,ltr, N 8271 UE 
2023-10-10,Service REK END,TRI STAR,135000,2,pcs, N 9490 UH 
2023-10-10,King Pin KIT NKR 71 ISUZU,73 Motor,500000,1,set, N 9490 UH 
2023-10-10,STOPPER PIR DEPAN NKR/NMR,73 Motor,85000,1,pcs, N 9490 UH 
2023-10-10,Bearing Roda Depan Luar / JUB,32207 J KOYO,77000,1,pcs, N 9490 UH 
2023-10-10,BEARING RODA DEPAN DALAM NKR71 32210JR,73 MOTOR,150000,1,pcs, N 9490 UH 
2023-10-10,PIR EXTRA NMR NO.1,73 MOTOR,380000,1,pcs, N 8428 BF 
2023-10-10,SUNDUK PIR BLKG CANTER,73 MOTOR,40000,1,pcs, N 8428 BF 
2023-10-10,BAUT RODA DEPAN KIRI IBK NKR71,73 MOTOR,55000,2,pcs, N 8428 BF 
2023-10-10,Pajak STNK + JR ,Kas ,2240000,1,unit, N 8303 UH  
2023-10-10,Pajak STNK + JR ,Kas ,2240000,1,unit, N 8308 UH  
2023-10-10,Pajak STNK + JR ,Kas ,2240000,1,unit, N 8309 UH  
2023-10-10,Pajak STNK + JR ,Kas ,2240000,1,unit, N 8310 UH  
2023-10-10,Pajak STNK + JR ,Kas ,2240000,1,unit, N 8299 UH  
2023-10-11,Oil Engine MEDITRAN SX,15W-40,32100,9,ltr, N 9435 UG 
2023-10-11,Oil Filter NKR & NMR/ Astra,16-97247 514-0,94575,1,pcs, N 9435 UG 
2023-10-11,SEAL REM NKR71 40493,73 MOTOR,10000,4,pcs, N 8427 BF 
2023-10-11,SEAL DEBU CANTER/NKR71,73 MOTOR,4000,4,pcs, N 8427 BF 
2023-10-11,Minyak Rem PRESTONE / ARNEX,DOT 3,75000,0.6,ltr, N 8427 BF 
2023-10-11,SKUN ACCU,73 MOTOR,7500,2,pcs, N 8427 BF 
2023-10-11,PASANG DAUN VELG R16 2 JADI 1,BAMBANG AS,250000,1,pcs, N 8333 UF 
2023-10-11,Ban Luar Duraturn Y601 750/16 / DGP,306 101 6560,1697655,1,pcs, N 8381 GF 
